ID,Company Name,Industry,Contact Name,Email,Phone,City,Country,Revenue ($),Employees
1,Mcdonald-Jackson,Education,Zachary Ramsey,kaitlyn27@davis.com,(504)571-2080,New Rodney,Puerto Rico,677415.89,334
2,Mitchell Ltd,Education,Amanda Fischer,michaelmartin@brown.com,430.814.4304,Carolynshire,Niger,762601.06,225
3,Mcpherson-Jenkins,Healthcare,Benjamin Burnett,adamsbrian@zimmerman-thompson.net,-7770,Wardburgh,Ireland,583368.32,44
4,Freeman Group,Education,Jasmine Costa,ianmartin@hotmail.com,6503094487,South William,Cuba,803019.76,132
5,"Davenport, Gould and Stanley",Finance,Jenna Cooper,spierce@hotmail.com,673-187-3600x89339,Vickistad,Guatemala,70659.5,68
6,Morales Group,Tech,Kristen Marquez MD,briannamontgomery@yahoo.com,996.643.8472x7245,East Davidshire,Uzbekistan,62716.33,298
7,Bernard LLC,Retail,Melanie Griffith,jessicamorgan@yahoo.com,(606)758-2994,South Heather,Myanmar,332764.74,368
8,"Cline, Juarez and Dougherty",Retail,Travis Young,csimmons@crawford.com,351-000-1991,South Tanya,Hungary,830040.01,490
9,Johnston-Leblanc,Retail,Wanda Bush,heatherbrown@yahoo.com,001-121-995-1422,Warrenton,Hungary,510089.95,207
10,Cooke-Meyers,Retail,Taylor Jones,seanmeyer@hotmail.com,407.720.7723,Christophershire,Egypt,691030.89,200
11,Crane Inc,Finance,Lisa Rodriguez,browncourtney@yahoo.com,538-076-6589x376,Sandraborough,Argentina,772644.02,174
12,Potter-Gonzalez,Retail,Jennifer Daniels,beltranrobert@whitehead.info,001-520-752-1698x186,Lisaborough,Tajikistan,586674.3,464
13,Franklin-Mclean,Tech,Tina Carson,suzanneedwards@yahoo.com,+1-824-615-1827x461,Vincentburgh,Martinique,577428.25,338
14,"Mathis, Herrera and Edwards",Healthcare,William Galloway,reynoldsamanda@yahoo.com,001-356-704-3430x02311,West Lisaside,Dominican Republic,514995.2,94
15,"Griffin, Johnson and Mejia",Healthcare,Daniel Johnson,johnbrooks@yahoo.com,(999)469-0339x6665,Rebeccahaven,Northern Mariana Islands,418234.62,184
16,"Bradley, Davis and Ibarra",Retail,Karen Silva,valerie01@gmail.com,594.532.2217x60018,North Brianaport,Cyprus,53334.08,488
17,Obrien-Townsend,Healthcare,Russell Bishop,amy39@hotmail.com,(441)669-8954x8248,Port Wendytown,Mali,114067.27,262
18,Adkins-Mclaughlin,Tech,Lauren Arnold,johnrobinson@johnson-harris.org,502.274.0099x5454,Lake Sethmouth,Ecuador,518509.33,284
19,"Tucker, Carter and Miles",Retail,Gregory Smith,richard65@gmail.com,409-026-4838x92052,Millermouth,Georgia,910576.01,469
